STOCK,TICKER
Sanofi Consumer,SANOFICONR.NS
Tips Music,TIPSMUSIC.NS
P & G Hygiene,PGHH.NS
Waaree Renewab.,WAAREERTL.NS
Oswal Pumps,OSWALPUMPS.NS
Esab India,ESABINDIA.NS
International Ge,IGIL.NS
Glaxosmi. Pharma,GLAXO.NS
Ingersoll-Rand,INGERRAND.NS
Page Industries,PAGEIND.NS
Tenneco Clean,TENNIND.NS
Anand Rathi Wea.,ANANDRATHI.NS
Gillette India,GILLETTE.NS
Shakti Pumps,SHAKTIPUMP.NS
Castrol India,CASTROLIND.NS
Cams Services,CAMS.NS
Indian Energy Ex,IEX.NS
Jeena Sikho,JSLL.NS
Atlanta Electric,ATLANTAELE.NS
Sanofi India,SANOFI.NS
P & G Health Ltd,PGHL.NS
Prudent Corp.,PRUDENT.NS
Ganesh Housing,GANESHHOU.NS
Motherson Wiring,MSUMI.NS
CDSL,CDSL.NS
Travel Food,TRAVELFOOD.NS
Akzo Nobel,AKZOINDIA.NS
Triveni Turbine,TRITURBINE.NS
Premier Energies,PREMIERENE.NS
Schneider Elect.,SCHNEIDER.NS
Action Const.Eq.,ACE.NS
KPIT Technologi.,KPITTECH.NS
Blue Jet Health,BLUEJET.NS
Fujiyama Power,UTLSOLAR.NS
3M India,3MINDIA.NS
Inox India,INOXINDIA.NS
Zen Technologies,ZENTEC.NS
Jyothy Labs,JYOTHYLAB.NS
Sri Lotus,LOTUSDEV.NS
Symphony,SYMPHONY.NS
Garden Reach Sh.,GRSE.NS
Tata Elxsi,TATAELXSI.NS
Jai Balaji Inds.,JAIBALAJI.NS
Sudeep Pharma,SUDEEPPHRM.NS
CRISIL,CRISIL.NS
The Bombay Burmah,BBTC.NS
Aditya AMC,ABSLAMC.NS
Transrail Light,TRANSRAILL.NS
Sharda Motor,SHARDAMOTR.NS
Indiamart Inter.,INDIAMART.NS
Gokul Agro,GOKULAGRO.NS
Reliance Infra.,RELINFRA.NS
Shreeji Ship. Gl,SHREEJISPG.NS
BLS Internat.,BLS.NS
Ajax Engineering,AJAXENGG.NS
Astrazeneca Phar,ASTRAZEN.NS
IIFL Capital,IIFLCAPS.NS
NBCC,NBCC.NS
Natco Pharma,NATCOPHARM.NS
KFin Technolog.,KFINTECH.NS
Apar Inds.,APARINDS.NS
Netweb Technol.,NETWEB.NS
Emami,EMAMILTD.NS
Ajanta Pharma,AJANTPHARM.NS
Banco Products,BANCOINDIA.NS
Balu Forge,BALUFORGE.NS
Authum Invest,AIIL.NS
Kingfa Science,KINGFA.NS
TD Power Systems,TDPOWERSYS.NS
Force Motors,FORCEMOT.NS
Black Box,BBOX.NS
Hexaware Tech.,HEXT.NS
Clean Science,CLEAN.NS
Tanla Platforms,TANLA.NS
Volt.Transform.,VOLTAMP.NS
Sonata Software,SONATSOFTW.NS
Dr Lal Pathlabs,LALPATHLAB.NS
SKF India,SKFINDIA.NS
Anthem Bioscienc,ANTHEM.NS
Elecon Engg.Co,ELECON.NS
Gulf Oil Lubric.,GULFOILLUB.NS
Dhanuka Agritech,DHANUKA.NS
L&T Technology,LTTS.NS
Kirl.Pneumatic,KIRLPNU.NS
Concord Biotech,CONCORDBIO.NS
Tilaknagar Inds.,TI.NS
NIIT Learning,NIITMTS.NS
eClerx Services,ECLERX.NS
Newgen Software,NEWGEN.NS
Fiem Industries,FIEMIND.NS
Cemindia Project,CEMPRO.NS
Kirl. Brothers,KIRLOSBROS.NS
ASK Automotive,ASKAUTOLTD.NS
Supriya Lifesci.,SUPRIYA.NS
HBL Engineering,HBLENGINE.NS
Inventurus Knowl,IKS.NS
Jain Resource,JAINREC.NS
SML Mahindra,SMLMAH.NS
Chambal Fert.,CHAMBLFERT.NS
TBO Tek,TBOTEK.NS
Quality Power El,QPOWER.NS
Dodla Dairy,DODLA.NS
Vikram Solar,VIKRAMSOLR.NS
Fine Organic,FINEORG.NS
Godfrey Phillips,GODFRYPHLP.NS
Blue Star,BLUESTARCO.NS
DOMS Industries,DOMS.NS
Gabriel India,GABRIEL.NS
Rubicon Research,RUBICON.NS
Vedant Fashions,MANYAVAR.NS
Caplin Point Lab,CAPLIPOINT.NS
Angel One,ANGELONE.NS
Tata Technolog.,TATATECH.NS
J B Chemicals &,JBCHEPHARM.NS
Shriram Pistons,SHRIPISTON.NS
Vesuvius India,VESUVIUS.NS
Petronet LNG,PETRONET.NS
Sumitomo Chemi.,SUMICHEM.NS
Engineers India,ENGINERSIN.NS
Alivus Life,ALIVUS.NS
Guj Pipavav Port,GPPL.NS
Epigral,EPIGRAL.NS
Bayer Crop Sci.,BAYERCROP.NS
Indegene,INDGN.NS
Thyrocare Tech.,THYROCARE.NS
Garware Tech.,GARFIBRES.NS
Jyoti CNC Auto.,JYOTICNC.NS
GHCL,GHCL.NS
C.E. Info System,MAPMYINDIA.NS
Avanti Feeds,AVANTIFEED.NS
KSB,KSB.NS
Hindustan Copper,HINDCOPPER.NS
Cello World,CELLO.NS
CMS Info Systems,CMSINFO.NS
Man Infra,MANINFRA.NS
EIH,EIHOTEL.NS
Godawari Power,GPIL.NS
ICRA,ICRA.NS
Manorama Indust.,MANORAMA.NS
Power Mech Proj.,POWERMECH.NS
Mahanagar Gas,MGL.NS
Pricol Ltd,PRICOLLTD.NS
P I Industries,PIIND.NS
SJS Enterprises,SJS.NS
Supreme Petroch.,SPLPETRO.NS
Piccadily Agro,PICCADIL.NS
Cera Sanitary.,CERA.NS
ION Exchange,IONEXCHANG.NS
Pearl Global Ind,PGIL.NS
Supreme Inds.,SUPREMEIND.NS
Himadri Special,HSCL.NS
Elgi Equipments,ELGIEQUIP.NS
Railtel Corpn.,RAILTEL.NS
Rites,RITES.NS
Midwest,MIDWESTLTD.NS
NCC,NCC.NS
Redtape,REDTAPE.NS
Pfizer,PFIZER.NS
Ratnamani Metals,RATNAMANI.NS
Gravita India,GRAVITA.NS
Jupiter Wagons,JWL.NS
Indian Metals,IMFA.NS
KEI Industries,KEI.NS
Zensar Tech.,ZENSARTECH.NS
Welspun Corp,WELCORP.NS
Sky Gold & Diam.,SKYGOLD.NS
NESCO,NESCO.NS
Allied Blenders,ABDL.NS
UTI AMC,UTIAMC.NS
Data Pattern,DATAPATTNS.NS
Birlasoft Ltd,BSOFT.NS
Timken India,TIMKEN.NS
Vijaya Diagnost.,VIJAYA.NS
Grindwell Norton,GRINDWELL.NS
AWL Agri Busine.,AWL.NS
Indraprastha Gas,IGL.NS
Sandur Manganese,SANDUMA.NS
Narayana Hrudaya,NH.NS
Jamna Auto Inds.,JAMNAAUTO.NS
Emcure Pharma,EMCURE.NS
Surya Roshni,SURYAROSNI.NS
Vinati Organics,VINATIORGA.NS
Garware Hi Tech,GRWRHITECH.NS
Olectra Greentec,OLECTRA.NS
Transport Corp.,TCI.NS
Sun TV Network,SUNTV.NS
Cochin Shipyard,COCHINSHIP.NS
ZF Commercial,ZFCVINDIA.NS
Campus Activewe.,CAMPUS.NS
Kaveri Seed Co.,KSCL.NS
Poly Medicure,POLYMED.NS
Marksans Pharma,MARKSANS.NS
Choice Intl.,CHOICEIN.NS
Subros,SUBROS.NS
